Aatrox,0.47
Ahri,0.54
Akali,0.36
Alistar,0.53
Amumu,0.51
Anivia,0.5
Annie,0.52
Ashe,0.59
Aurelion Sol,0.48
Azir,0.43
Bard,0.4
Blitzcrank,0.52
Brand,0.59
Braum,0.47
Caitlyn,0.55
Camille,0.44
Cassiopeia,0.52
Cho'Gath,0.51
Corki,0.45
Darius,0.55
Diana,0.48
Dr. Mundo,0.56
Draven,0.49
Ekko,0.48
Elise,0.47
Evelynn,0.37
Ezreal,0.53
Fiddlesticks,0.59
Fiora,0.46
Fizz,0.45
Galio,0.55
Gangplank,0.52
Garen,0.54
Gnar,0.49
Gragas,0.49
Graves,0.55
Hecarim,0.4
Heimerdinger,0.59
Illaoi,0.57
Irelia,0.48
Ivern,0.5
Janna,0.59
Jarvan IV,0.47
Jax,0.47
Jayce,0.53
Jhin,0.62
Jinx,0.57
Kai'Sa,0.46
Kalista,0.45
Karma,0.52
Karthus,0.57
Kassadin,0.49
Katarina,0.46
Kayle,0.51
Kayn,0.49
Kennen,0.46
Kha'Zix,0.44
Kindred,0.42
Kled,0.5
Kog'Maw,0.62
LeBlanc,0.4
Lee Sin,0.41
Leona,0.51
Lissandra,0.55
Lucian,0.49
Lulu,0.48
Lux,0.66
Malphite,0.5
Malzahar,0.59
Maokai,0.66
Master Yi,0.48
Miss Fortune,0.59
Mordekaiser,0.46
Morgana,0.58
Nami,0.54
Nasus,0.53
Nautilus,0.55
Nidalee,0.47
Nocturne,0.42
Nunu & Willump,0.43
Olaf,0.5
Orianna,0.52
Ornn,0.48
Pantheon,0.47
Poppy,0.46
Pyke,0.54
Quinn,0.41
Rakan,0.5
Rammus,0.46
Rek'Sai,0.35
Renekton,0.48
Rengar,0.45
Riven,0.46
Rumble,0.49
Ryze,0.42
Sejuani,0.39
Shaco,0.5
Shen,0.47
Shyvana,0.44
Singed,0.49
Sion,0.59
Sivir,0.61
Skarner,0.48
Sona,0.7
Soraka,0.5
Swain,0.57
Syndra,0.48
Tahm Kench,0.42
Taliyah,0.46
Talon,0.46
Taric,0.52
Teemo,0.61
Thresh,0.5
Tristana,0.44
Trundle,0.54
Tryndamere,0.4
Twisted Fate,0.53
Twitch,0.52
Udyr,0.43
Urgot,0.53
Varus,0.58
Vayne,0.48
Veigar,0.6
Vel'Koz,0.62
Vi,0.45
Viktor,0.53
Vladimir,0.54
Volibear,0.53
Warwick,0.43
Wukong,0.55
Xayah,0.49
Xerath,0.63
Xin Zhao,0.47
Yasuo,0.5
Yorick,0.57
Zac,0.46
Zed,0.47
Ziggs,0.71
Zilean,0.51
Zoe,0.48
Zyra,0.61
